canonical_id;gb_id;from_google;merge_method;timestamp
9781449361327;17912916;True;id;2025-11-21T00:19:07.882871Z
9781118661468;17682206;True;id;2025-11-21T00:19:07.882871Z
9781492041108;25407018;True;id;2025-11-21T00:19:07.882871Z
9781647826314;205905685;True;id;2025-11-21T00:19:07.882871Z
9781491910351;33399049;True;id;2025-11-21T00:19:07.882871Z
9781449358655;17346997;True;id;2025-11-21T00:19:07.882871Z
9789811127007;34213247;True;id;2025-11-21T00:19:07.882871Z
9781491912058;26457146;True;id;2025-11-21T00:19:07.882871Z
9780262535434;36722689;True;id;2025-11-21T00:19:07.882871Z
9781119741763;56357967;True;id;2025-11-21T00:19:07.882871Z
9781119811558;56751800;True;id;2025-11-21T00:19:07.882871Z
9780578973838;58949285;True;id;2025-11-21T00:19:07.882871Z
988067f24e5ff7028ebc15e1a68fe6def0ae98cb;26299386;True;id;2025-11-21T00:19:07.882871Z
9781449336097;13638556;True;id;2025-11-21T00:19:07.882871Z
9781119785323;57182112;True;id;2025-11-21T00:19:07.882871Z
9781107149892;30462852;True;id;2025-11-21T00:19:07.882871Z
9781449316808;12700492;True;id;2025-11-21T00:19:07.882871Z
777499203740c4d899339abc8ae5baf98273f582;53454530;True;id;2025-11-21T00:19:07.882871Z
9781617296246;52661559;True;id;2025-11-21T00:19:07.882871Z
9781492045366;41543548;True;id;2025-11-21T00:19:07.882871Z
